A,T,rl_no_obs,smc_no_obs,rl_obs,smc_obs
0.388246711,4.928571429,-10.01855572,-2.747861723,-0.340211104,-2.747861723
0.388246711,5.142857143,-10.54686641,-2.726170867,-0.314805477,-2.726170867
0.388246711,5.357142857,-10.75347578,-2.715689004,-0.305667416,-2.715689004
0.388246711,5.571428571,-11.41501262,-2.721051571,-0.278179231,-2.721051571
0.388246711,5.785714286,-11.60280945,-2.735057478,-0.270297584,-2.735057478
0.388246711,6,-11.46690284,-2.748349544,-0.305704448,-2.748349544
0.406056193,3,-6.536456659,-2.30279224,-0.883564643,-2.30279224
0.406056193,3.214285714,-9.299492015,-2.60789137,-0.622760848,-2.60789137
0.406056193,3.428571429,-11.89546248,-2.936196711,-0.415716881,-2.936196711
0.406056193,3.642857143,-13.5667253,-3.062352298,-0.374052413,-3.062352298
0.406056193,3.857142857,-12.68129512,-3.049471077,-0.396966868,-3.049471077
0.406056193,4.071428571,-11.49756234,-2.98506788,-0.426183233,-2.98506788
0.406056193,4.285714286,-10.88023915,-2.88814373,-0.413491332,-2.88814373
0.406056193,4.5,-10.32367062,-2.827511342,-0.405109156,-2.827511342
0.406056193,4.714285714,-9.986634606,-2.797404005,-0.3913723,-2.797404005
0.406056193,4.928571429,-10.47702872,-2.770665561,-0.359439042,-2.770665561
0.406056193,5.142857143,-10.86777498,-2.746381066,-0.324315557,-2.746381066
0.406056193,5.357142857,-11.22061096,-2.734042309,-0.298124366,-2.734042309
0.406056193,5.571428571,-11.55176364,-2.739185688,-0.299096081,-2.739185688
0.406056193,5.785714286,-11.64223019,-2.754273888,-0.279507429,-2.754273888
0.406056193,6,-11.7099867,-2.768657675,-0.299500923,-2.768657675
0.423865675,3,-7.246289584,-2.319086775,-0.967296297,-2.319086775
0.423865675,3.214285714,-7.747204897,-2.634823604,-0.650267986,-2.634823604
0.423865675,3.428571429,-11.93139685,-2.976551498,-0.44262144,-2.976551498
0.423865675,3.642857143,-15.15544342,-3.106005292,-0.403007964,-3.106005292
0.423865675,3.857142857,-13.31433642,-3.09092594,-0.421557789,-3.09092594
0.423865675,4.071428571,-11.58461985,-3.023383399,-0.445476475,-3.023383399
0.423865675,4.285714286,-11.53041373,-2.919751856,-0.435337808,-2.919751856
0.423865675,4.5,-10.57575096,-2.855287385,-0.433571088,-2.855287385
0.423865675,4.714285714,-10.40772985,-2.823804087,-0.409197505,-2.823804087
0.423865675,4.928571429,-10.82978345,-2.7946972,-0.365438809,-2.7946972
0.423865675,5.142857143,-10.62736937,-2.767727987,-0.338082371,-2.767727987
0.423865675,5.357142857,-11.05363641,-2.753486405,-0.310452641,-2.753486405
0.423865675,5.571428571,-11.28090844,-2.758326611,-0.28433774,-2.758326611
0.423865675,5.785714286,-12.20774292,-2.774481505,-0.30190589,-2.774481505
0.423865675,6,-11.97032294,-2.789994054,-0.316163083,-2.789994054
0.441675158,3,-5.725573239,-2.337764255,-0.986751118,-2.337764255
0.441675158,3.214285714,-7.348096166,-2.663954996,-0.674274425,-2.663954996
0.441675158,3.428571429,-12.47275057,-3.018959734,-0.466555385,-3.018959734
0.441675158,3.642857143,-15.71638336,-3.151517654,-0.418088448,-3.151517654
0.441675158,3.857142857,-13.76650106,-3.134138823,-0.456056269,-3.134138823
0.441675158,4.071428571,-13.05377055,-3.063340583,-0.472915205,-3.063340583
0.441675158,4.285714286,-12.11368433,-2.952926229,-0.460611218,-2.952926229
0.441675158,4.5,-10.77500552,-2.884507582,-0.443646339,-2.884507582
0.441675158,4.714285714,-10.63922581,-2.851544723,-0.431155686,-2.851544723
0.441675158,4.928571429,-10.36176787,-2.819919338,-0.386907764,-2.819919338
0.441675158,5.142857143,-10.51610818,-2.790176784,-0.338412916,-2.790176784
0.441675158,5.357142857,-11.25557382,-2.774012585,-0.31075359,-2.774012585
0.441675158,5.571428571,-11.7114574,-2.778482989,-0.291377575,-2.778482989
0.441675158,5.785714286,-11.9643112,-2.795669084,-0.282220474,-2.795669084
0.441675158,6,-12.68067986,-2.812353304,-0.328895474,-2.812353304
0.45948464,3,-5.964469365,-2.358829577,-1.07311006,-2.358829577
0.45948464,3.214285714,-9.653966617,-2.695291271,-0.734737371,-2.695291271
0.45948464,3.428571429,-13.21251772,-3.063413248,-0.491714854,-3.063413248
0.45948464,3.642857143,-15.96754822,-3.198884708,-0.440134954,-3.198884708
0.45948464,3.857142857,-14.23731915,-3.179117401,-0.476396911,-3.179117401
0.45948464,4.071428571,-13.12974507,-3.104919365,-0.479081116,-3.104919365
0.45948464,4.285714286,-11.63129554,-2.987671097,-0.475717079,-2.987671097
0.45948464,4.5,-11.02748318,-2.915181013,-0.477010039,-2.915181013
0.45948464,4.714285714,-10.91778156,-2.880599613,-0.459499506,-2.880599613
0.45948464,4.928571429,-10.91774383,-2.846302824,-0.408876974,-2.846302824
0.45948464,5.142857143,-11.38589907,-2.81369273,-0.357444075,-2.81369273
0.45948464,5.357142857,-12.26889973,-2.795604899,-0.320781709,-2.795604899
0.45948464,5.571428571,-11.08060821,-2.799661173,-0.290686258,-2.799661173
0.45948464,5.785714286,-12.09001496,-2.817826388,-0.296535844,-2.817826388
0.45948464,6,-12.63320902,-2.835726719,-0.315104273,-2.835726719
0.477294122,3,-6.129007825,-2.382285916,-1.155495848,-2.382285916
0.477294122,3.214285714,-9.138649573,-2.728839339,-0.774060101,-2.728839339
0.477294122,3.428571429,-12.63527366,-3.109898635,-0.520028704,-3.109898635
0.477294122,3.642857143,-17.05167655,-3.248104303,-0.456113968,-3.248104303
0.477294122,3.857142857,-14.86687795,-3.225873561,-0.486520642,-3.225873561
0.477294122,4.071428571,-13.63856045,-3.148104467,-0.518909842,-3.148104467
0.477294122,4.285714286,-12.21276209,-3.023983606,-0.495294417,-3.023983606
0.477294122,4.5,-11.69808824,-2.947316065,-0.484169686,-2.947316065
0.477294122,4.714285714,-10.36152977,-2.910947164,-0.471402901,-2.910947164
0.477294122,4.928571429,-10.24659678,-2.873819246,-0.425332489,-2.873819246
0.477294122,5.142857143,-11.30688803,-2.838242624,-0.379971071,-2.838242624
0.477294122,5.357142857,-11.33464456,-2.818243359,-0.330852981,-2.818243359
0.477294122,5.571428571,-12.0718698,-2.821865366,-0.295330999,-2.821865366
0.477294122,5.785714286,-12.91543895,-2.840944673,-0.294127073,-2.840944673
0.477294122,6,-13.58904248,-2.860105258,-0.325938412,-2.860105258
0.495103604,3,-7.198198958,-2.408135804,-1.19386397,-2.408135804
0.495103604,3.214285714,-8.639922571,-2.764602904,-0.818646623,-2.764602904
0.495103604,3.428571429,-13.40256524,-3.158403003,-0.561600147,-3.158403003
0.495103604,3.642857143,-17.4856358,-3.299174681,-0.49376971,-3.299174681
0.495103604,3.857142857,-13.7867851,-3.274420434,-0.524825807,-3.274420434
0.495103604,4.071428571,-13.91248474,-3.192885916,-0.551283307,-3.192885916
0.495103604,4.285714286,-12.14722848,-3.061864195,-0.525195056,-3.061864195
0.495103604,4.5,-11.32974076,-2.980923857,-0.520098862,-2.980923857
0.495103604,4.714285714,-10.92009549,-2.942577699,-0.485013722,-2.942577699
0.495103604,4.928571429,-11.42955615,-2.902445957,-0.447799148,-2.902445957
0.495103604,5.142857143,-11.90160265,-2.8637966,-0.383779293,-2.8637966
0.495103604,5.357142857,-12.10858791,-2.841908108,-0.349403722,-2.841908108
0.495103604,5.571428571,-12.65946316,-2.845093827,-0.314805268,-2.845093827
0.495103604,5.785714286,-13.13144881,-2.865011008,-0.308693131,-2.865011008
0.495103604,6,-13.24801038,-2.885483939,-0.329115902,-2.885483939
0.512913086,3,-7.141120531,-2.436382977,-1.2222641,-2.436382977
0.512913086,3.214285714,-10.38649971,-2.802582551,-0.880653953,-2.802582551
0.512913086,3.428571429,-14.16452463,-3.208911611,-0.582880191,-3.208911611
0.512913086,3.642857143,-17.98057883,-3.352093613,-0.508959396,-3.352093613
0.512913086,3.857142857,-16.64557864,-3.324772459,-0.55064845,-3.324772459
0.512913086,4.071428571,-13.98353443,-3.239258064,-0.567457751,-3.239258064
0.512913086,4.285714286,-12.92077971,-3.101308562,-0.567058242,-3.101308562
0.512913086,4.5,-11.30313536,-3.016014297,-0.542353233,-3.016014297
0.512913086,4.714285714,-11.36157211,-2.97548434,-0.509145674,-2.97548434
